source_id,target_id,dependency_type,lag_months,lag_weeks,lag_days,lag_hours
27,374,SS,0,5,5,0
352,375,FS,0,0,0,0
27,375,SS,0,5,5,0
353,376,FS,0,0,0,0
27,376,SS,0,5,5,0
354,377,FS,0,0,0,0
27,377,SS,0,5,5,0
355,378,FS,0,0,0,0
27,378,SS,0,5,5,0
356,379,FS,0,0,0,0
27,379,SS,0,5,5,0
357,380,FS,0,0,0,0
27,380,SS,0,5,5,0
358,381,FS,0,0,0,0
27,381,SS,0,5,5,0
359,382,FS,0,0,0,0
27,382,SS,0,5,5,0
29,31,FS,0,0,0,0
360,383,FS,0,0,0,0
361,384,FS,0,0,0,0
362,385,FS,0,0,0,0
363,386,FS,0,0,0,0
364,387,FS,0,0,0,0
365,388,FS,0,0,0,0
366,389,FS,0,0,0,0
367,390,FS,0,0,0,0
368,391,FS,0,0,0,0
369,392,FS,0,0,0,0
370,393,FS,0,0,0,0
371,394,FS,0,0,0,0
372,395,FS,0,0,0,0
373,396,FS,0,0,0,0
374,397,FS,0,0,0,0
375,398,FS,0,0,0,0
376,399,FS,0,0,0,0
377,400,FS,0,0,0,0
378,401,FS,0,0,0,0
379,402,FS,0,0,0,0
380,403,FS,0,0,0,0
381,404,FS,0,0,0,0
382,405,FS,0,0,0,0
31,313,FS,0,0,0,0
383,314,FS,0,0,0,0
384,315,FS,0,0,0,0
385,316,FS,0,0,0,0
386,317,FS,0,0,0,0
387,318,FS,0,0,0,0
388,319,FS,0,0,0,0
389,320,FS,0,0,0,0
390,321,FS,0,0,0,0
391,322,FS,0,0,0,0
392,323,FS,0,0,0,0
393,324,FS,0,0,0,0
394,325,FS,0,0,0,0
395,326,FS,0,0,0,0
396,327,FS,0,0,0,0
397,328,FS,0,0,0,0
398,329,FS,0,0,0,0
399,330,FS,0,0,0,0
400,331,FS,0,0,0,0
401,332,FS,0,0,0,0
402,333,FS,0,0,0,0
403,334,FS,0,0,0,0
404,335,FS,0,0,0,0
405,336,FS,0,0,0,0
313,289,FS,0,0,0,0
241,289,FS,0,2,1,0
314,290,FS,0,0,0,0
242,290,FS,0,2,1,0
315,291,FS,0,0,0,0
243,291,FS,0,2,1,0
316,292,FS,0,0,0,0
244,292,FS,0,2,1,0
317,293,FS,0,0,0,0
245,293,FS,0,2,1,0
318,294,FS,0,0,0,0
246,294,FS,0,2,1,0
319,295,FS,0,0,0,0
247,295,FS,0,2,1,0
320,296,FS,0,0,0,0
248,296,FS,0,2,1,0
321,297,FS,0,0,0,0
249,297,FS,0,2,1,0
322,298,FS,0,0,0,0
250,298,FS,0,2,1,0
323,299,FS,0,0,0,0
251,299,FS,0,2,1,0
324,300,FS,0,0,0,0
252,300,FS,0,2,1,0
325,301,FS,0,0,0,0
253,301,FS,0,2,1,0
326,302,FS,0,0,0,0
254,302,FS,0,2,1,0
327,303,FS,0,0,0,0
255,303,FS,0,2,1,0
328,304,FS,0,0,0,0
256,304,FS,0,2,1,0
329,305,FS,0,0,0,0
257,305,FS,0,2,1,0
330,306,FS,0,0,0,0
258,306,FS,0,2,1,0
331,307,FS,0,0,0,0
259,307,FS,0,2,1,0
332,308,FS,0,0,0,0
260,308,FS,0,2,1,0
333,309,FS,0,0,0,0
261,309,FS,0,2,1,0
334,310,FS,0,0,0,0
262,310,FS,0,2,1,0
335,311,FS,0,0,0,0
263,311,FS,0,2,1,0
336,312,FS,0,0,0,0
264,312,FS,0,2,1,0
289,265,FS,0,0,0,0
290,266,FS,0,0,0,0
291,267,FS,0,0,0,0
292,268,FS,0,0,0,0
293,269,FS,0,0,0,0
294,270,FS,0,0,0,0
295,271,FS,0,0,0,0
296,272,FS,0,0,0,0
297,273,FS,0,0,0,0
298,274,FS,0,0,0,0
299,275,FS,0,0,0,0
300,276,FS,0,0,0,0
301,277,FS,0,0,0,0
302,278,FS,0,0,0,0
303,279,FS,0,0,0,0
304,280,FS,0,0,0,0
305,281,FS,0,0,0,0
306,282,FS,0,0,0,0
307,283,FS,0,0,0,0
308,284,FS,0,0,0,0
309,285,FS,0,0,0,0
310,286,FS,0,0,0,0
311,287,FS,0,0,0,0
312,288,FS,0,0,0,0
46,53,SS,0,28,4,0
47,52,SS,0,28,4,0
48,51,SS,0,28,4,0
49,50,SS,0,28,4,0
51,57,FS,0,0,0,0
50,57,FS,0,0,0,0
56,57,FS,0,0,0,0
52,58,FS,0,0,0,0
56,58,FS,0,0,0,0
53,502,SS,0,2,6,0
57,502,SS,0,2,6,0
58,502,SS,0,2,6,0
53,503,SS,0,2,6,0
57,503,SS,0,2,6,0
58,503,SS,0,2,6,0
53,504,SS,0,2,6,0
57,504,SS,0,2,6,0
58,504,SS,0,2,6,0
53,505,SS,0,2,6,0
57,505,SS,0,2,6,0
58,505,SS,0,2,6,0
53,506,SS,0,2,6,0
57,506,SS,0,2,6,0
58,506,SS,0,2,6,0
53,507,SS,0,2,6,0
57,507,SS,0,2,6,0
58,507,SS,0,2,6,0
53,508,SS,0,2,6,0
57,508,SS,0,2,6,0
58,508,SS,0,2,6,0
53,509,SS,0,2,6,0
57,509,SS,0,2,6,0
58,509,SS,0,2,6,0
53,510,SS,0,2,6,0
57,510,SS,0,2,6,0
58,510,SS,0,2,6,0
53,511,SS,0,2,6,0
57,511,SS,0,2,6,0
58,511,SS,0,2,6,0
53,512,SS,0,2,6,0
57,512,SS,0,2,6,0
58,512,SS,0,2,6,0
53,513,SS,0,2,6,0
57,513,SS,0,2,6,0
58,513,SS,0,2,6,0
53,514,SS,0,2,6,0
57,514,SS,0,2,6,0
58,514,SS,0,2,6,0
53,515,SS,0,2,6,0
57,515,SS,0,2,6,0
58,515,SS,0,2,6,0
53,516,SS,0,2,6,0
57,516,SS,0,2,6,0
58,516,SS,0,2,6,0
53,517,SS,0,2,6,0
57,517,SS,0,2,6,0
58,517,SS,0,2,6,0
53,518,SS,0,2,6,0
57,518,SS,0,2,6,0
58,518,SS,0,2,6,0
53,519,SS,0,2,6,0
57,519,SS,0,2,6,0
58,519,SS,0,2,6,0
53,520,SS,0,2,6,0
57,520,SS,0,2,6,0
58,520,SS,0,2,6,0
53,521,SS,0,2,6,0
57,521,SS,0,2,6,0
58,521,SS,0,2,6,0
53,522,SS,0,2,6,0
57,522,SS,0,2,6,0
58,522,SS,0,2,6,0
53,523,SS,0,2,6,0
57,523,SS,0,2,6,0
58,523,SS,0,2,6,0
53,524,SS,0,2,6,0
57,524,SS,0,2,6,0
58,524,SS,0,2,6,0
53,525,SS,0,2,6,0
57,525,SS,0,2,6,0
58,525,SS,0,2,6,0
502,478,FS,0,0,0,0
265,478,FS,0,0,6,4
503,479,FS,0,0,0,0
266,479,FS,0,0,6,4
504,480,FS,0,0,0,0
267,480,FS,0,0,6,4
505,481,FS,0,0,0,0
268,481,FS,0,0,6,4
506,482,FS,0,0,0,0
269,482,FS,0,0,6,4
507,483,FS,0,0,0,0
270,483,FS,0,0,6,4
508,484,FS,0,0,0,0
271,484,FS,0,0,6,4
509,485,FS,0,0,0,0
272,485,FS,0,0,6,4
510,486,FS,0,0,0,0
273,486,FS,0,0,6,4
511,487,FS,0,0,0,0
274,487,FS,0,0,6,4
512,488,FS,0,0,0,0
275,488,FS,0,0,6,4
513,489,FS,0,0,0,0
276,489,FS,0,0,6,4
514,490,FS,0,0,0,0
277,490,FS,0,0,6,4
515,491,FS,0,0,0,0
278,491,FS,0,0,6,4
516,492,FS,0,0,0,0
279,492,FS,0,0,6,4
517,493,FS,0,0,0,0
280,493,FS,0,0,6,4
518,494,FS,0,0,0,0
281,494,FS,0,0,6,4
519,495,FS,0,0,0,0
282,495,FS,0,0,6,4
520,496,FS,0,0,0,0
283,496,FS,0,0,6,4
521,497,FS,0,0,0,0
284,497,FS,0,0,6,4
522,498,FS,0,0,0,0
285,498,FS,0,0,6,4
523,499,FS,0,0,0,0
286,499,FS,0,0,6,4
524,500,FS,0,0,0,0
287,500,FS,0,0,6,0
525,501,FS,0,0,0,0
288,501,FS,0,0,6,0
112,454,FS,0,0,0,0
478,454,SS,0,0,3,0
112,455,FS,0,0,0,0
479,455,SS,0,0,3,0
112,456,FS,0,0,0,0
480,456,SS,0,0,3,0
112,457,FS,0,0,0,0
481,457,SS,0,0,3,0
112,458,FS,0,0,0,0
482,458,SS,0,0,3,0
112,459,FS,0,0,0,0
483,459,SS,0,0,3,0
112,460,FS,0,0,0,0
484,460,FS,0,0,3,0
112,461,FS,0,0,0,0
485,461,SS,0,0,3,0
112,462,FS,0,0,0,0
486,462,SS,0,0,3,0
112,463,FS,0,0,0,0
487,463,SS,0,0,3,0
112,464,FS,0,0,0,0
488,464,SS,0,0,3,0
112,465,FS,0,0,0,0
489,465,SS,0,0,3,0
112,466,FS,0,0,0,0
490,466,SS,0,0,3,0
112,467,FS,0,0,0,0
491,467,SS,0,0,3,0
112,468,FS,0,0,0,0
492,468,SS,0,0,3,0
112,469,FS,0,0,0,0
493,469,SS,0,0,3,0
112,470,FS,0,0,0,0
494,470,SS,0,0,3,0
112,471,FS,0,0,0,0
495,471,SS,0,0,3,0
112,472,FS,0,0,0,0
496,472,SS,0,0,3,0
112,473,FS,0,0,0,0
497,473,SS,0,0,3,0
112,474,FS,0,0,0,0
498,474,SS,0,0,3,0
112,475,FS,0,0,0,0
499,475,SS,0,0,3,0
112,476,FS,0,0,0,0
500,476,SS,0,0,3,0
112,477,FS,0,0,0,0
501,477,SS,0,0,3,0
154,430,FS,0,0,0,0
454,430,FS,0,0,0,0
154,431,FS,0,0,0,0
455,431,FS,0,0,0,0
